R package version: 0.0-30
Summary type: mean
Test type: t-test
x-axis treatment: 27
x-axis medium: SDM_rhk_CTGN
x-axis screen ID: QFA0141
x-axis screen name: Addinall et al. (2011) 27C ura3
x-axis libraries: SDLV2_384_SDLV3_384
x-axis client: DAL
x-axis user: SGA
x-axis date: 2010/01/18
x-axis PI: DAL
x-axis condition: SDM_rhk_CTGN
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 30
y-axis medium: SDM_rhk_CTGN
y-axis screen ID: QFA0139
y-axis screen name: Addinall et al. (2011) 30C yku70
y-axis libraries: SDLV2_384_SDLV3_384
y-axis client: DAL
y-axis user: SGA
y-axis date: 2009/08/28
y-axis PI: DAL
y-axis condition: SDM_rhk_CTGN
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YHL007C	STE20	0.0211352	0.503828	-70.1804	9.95943	80.0825	6.70288	23.6681	8	8	t-test	E
YHR041C	SRB2	0.00341876	0.203891	-70.1366	6.48713	76.569	4.33968	16.4876	8	8	t-test	E
YMR271C	URA10	0.034801	0.563305	-69.5476	66.4047	135.855	26.6074	3.09066	8	8	t-test	E
YLR452C	SST2	0.0834432	0.690353	-68.7654	39.3555	108.044	22.7226	28.8469	8	8	t-test	E
YDR034C	LYS14	3.18723e-13	1.95514e-10	-68.5581	3.05479	71.5617	3.05479	7.12572	56	56	t-test	E
YBR171W	SEC66	0.0707962	0.664111	-68.5521	82.1081	150.552	32.0972	4.6107	8	8	t-test	E
YJL204C	RCY1	0.0131669	0.415725	-67.3071	7.0894	74.3433	4.92341	20.4828	8	8	t-test	E
YLR448W	RPL6B	0.0428497	0.586211	-67.2778	57.884	125.072	21.9227	20.7528	8	8	t-test	E
YIL116W	HIS5	0.0140428	0.424629	-67.152	0	67.104	0	20.6426	8	8	t-test	E
YNL266W	YNL266W	0.0536637	0.622789	-66.4602	18.8723	85.2715	18.8723	24.9906	8	8	t-test	E
YMR202W	ERG2	0.0431705	0.586211	-66.2977	2.54944	68.798	2.54944	26.8616	8	8	t-test	E
YML013C-A	YML013C-A	0.0215401	0.503828	-66.1326	52.7814	118.829	21.0143	13.6097	8	8	t-test	E
YPL087W	YDC1	0.0346229	0.563305	-66.0086	76.4212	142.328	24.4458	11.3839	8	8	t-test	E
YGL244W	RTF1	0.00184007	0.16461	-64.9283	38.9731	103.827	13.8817	4.78784	8	8	t-test	E
YGL154C	LYS5	0.0158288	0.458334	-64.2565	7.82776	72.0327	5.19132	20.3404	8	8	t-test	E
YIR023W	DAL81	0.00966377	0.351663	-64.0545	23.6315	87.6234	12.9565	16.748	8	8	t-test	E
YCR034W	ELO2	0.000432055	0.053007	-63.6865	37.6714	101.286	10.8577	3.47488	8	8	t-test	E
YDR074W	TPS2	0.0366521	0.565186	-63.3674	77.6807	140.947	23.8549	10.8002	8	8	t-test	E
YMR155W	YMR155W	0.0306863	0.538674	-63.2377	70.3021	133.444	23.4273	1.94544	8	8	t-test	E
YMR272C	SCS7	0.0509327	0.616144	-62.6733	69.0942	131.673	26.595	3.54157	8	8	t-test	E
YEL064C	AVT2	0.0638797	0.656337	-62.2724	18.8717	81.0862	18.8717	24.3086	8	8	t-test	E
YBR121C	GRS1	0.0637691	0.656337	-62.0928	78.3701	140.363	28.1083	4.79792	8	8	t-test	E
YOL012C	HTZ1	0.0274615	0.525573	-62.0478	29.8394	91.8216	16.8339	18.7133	8	8	t-test	E
YKR001C	VPS1	0.00709742	0.307411	-61.9507	38.3565	100.236	16.701	5.30221	8	8	t-test	E
YER113C	TMN3	0.0745935	0.677176	-61.8677	76.0488	137.818	29.492	3.34165	8	8	t-test	E
YMR154C	RIM13	0.0226667	0.504703	-61.1014	64.5465	125.558	21.0016	1.45905	8	8	t-test	E
YDL226C	GCS1	0.0219081	0.503828	-61.0741	45.8202	106.818	20.8277	2.84428	8	8	t-test	E
YMR164C	MSS11	0.0201699	0.497755	-60.5713	72.4082	132.885	20.254	2.02483	8	8	t-test	E
YDR359C	EAF1	0.00738212	0.310773	-60.5145	0	60.4713	0	16.2226	8	8	t-test	E
YER176W	ECM32	0.0413417	0.575273	-60.0672	77.4189	137.388	24.0736	1.80216	8	8	t-test	E
YBL088C	TEL1	0.021592	0.503828	-59.7675	79.3986	139.067	20.3121	3.68457	8	8	t-test	E
YDL104C	QRI7	0.0637845	0.656337	-59.3203	71.1108	130.338	26.9487	2.09384	8	8	t-test	E
YNR006W	VPS27	0.0398944	0.572135	-59.0726	42.1468	101.147	20.1504	16.368	8	8	t-test	E
YML001W	YPT7	0.0848246	0.695108	-58.3519	72.7513	131.01	16.9168	26.038	8	8	t-test	E
YPL004C	LSP1	0.0617277	0.656337	-58.0321	80.5485	138.482	26.0411	3.87194	8	8	t-test	E
YKL212W	SAC1	0.0376052	0.565186	-57.9005	0	57.8591	0	22.6099	8	8	t-test	E
YNL254C	RTC4	0.0674814	0.664111	-57.8541	85.1795	142.931	26.6628	4.27735	8	8	t-test	E
YOR106W	VAM3	0.00532288	0.262718	-57.8408	18.6352	76.4213	13.1856	11.4992	8	8	t-test	E
YMR273C	ZDS1	0.0637296	0.656337	-57.7203	80.1268	137.749	26.2047	2.46016	8	8	t-test	E
YHR067W	HTD2	0.0284103	0.530712	-57.5352	54.8381	112.293	20.899	2.69362	8	8	t-test	E
YMR179W	SPT21	0.0186603	0.477782	-57.3117	58.6109	115.84	18.7225	6.83272	8	8	t-test	E
