R package version: 0.0-30
Summary type: mean
Test type: t-test
x-axis treatment: 37
x-axis medium: SDM_rhk_CTGN
x-axis screen ID: QFA0141
x-axis screen name: Addinall et al. (2011) 37C ura3
x-axis libraries: SDLV2_384_SDLV3_384
x-axis client: DAL
x-axis user: SGA
x-axis date: 2010/01/18
x-axis PI: DAL
x-axis condition: SDM_rhk_CTGN
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 37_5
y-axis medium: SDM_rhk_CTGN
y-axis screen ID: QFA0139
y-axis screen name: Addinall et al. (2011) 37.5C yku70
y-axis libraries: SDLV2_384_SDLV3_384
y-axis client: DAL
y-axis user: SGA
y-axis date: 2009/08/28
y-axis PI: DAL
y-axis condition: SDM_rhk_CTGN
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YDR090C	YDR090C	0.0372459	0.450279	-56.5397	24.2125	111.687	20.7214	16.5534	8	8	t-test	E
YBL088C	TEL1	0.0242151	0.403042	-56.5302	38.0172	130.767	19.7435	4.18674	8	8	t-test	E
YNR025C	YNR025C	0.00521237	0.19807	-56.174	30.5399	119.933	14.0694	1.12343	8	8	t-test	E
YDL062W	YDL062W	0.000247322	0.0331875	-55.2216	25.6118	111.8	8.47089	2.82551	8	8	t-test	E
YNL107W	YAF9	0.00625126	0.212052	-55.2019	29.4685	117.106	14.4315	3.74728	8	8	t-test	E
YPL100W	ATG21	0.00921607	0.26246	-55.1127	31.0659	119.192	15.5176	2.4975	8	8	t-test	E
YDR372C	VPS74	0.03365	0.450279	-54.358	22.6552	106.516	19.4692	15.4721	8	8	t-test	E
YGL163C	RAD54	0.00596694	0.209621	-53.9442	20.5354	103.012	14.0086	4.29062	8	8	t-test	E
YNL286W	CUS2	0.000496632	0.0546804	-53.6362	40.8284	130.653	9.55668	5.86277	8	8	t-test	E
YMR263W	SAP30	0.0021471	0.130189	-53.5706	10.6647	88.843	10.6647	13.0373	8	8	t-test	E
YCR095C	OCA4	0.0348237	0.450279	-53.5245	46.188	137.911	20.4581	4.90721	8	8	t-test	E
YDR289C	RTT103	0.0171889	0.362349	-53.08	27.5889	111.572	15.551	16.1375	8	8	t-test	E
YCR071C	IMG2	0.00575954	0.206168	-52.8582	0	73.1075	0	18.6566	8	8	t-test	E
YHL007C	STE20	0.012344	0.317397	-52.449	0	72.5415	0	21.6901	8	8	t-test	E
YDL104C	QRI7	0.0060781	0.210479	-51.0947	35.1869	119.335	13.3381	4.57421	8	8	t-test	E
YOL013W-A	YOL013W-A	0.121155	0.587492	-50.9084	64.6928	159.886	12.4289	37.7531	8	8	t-test	E
YJR066W	TOR1	0.000733083	0.0715423	-50.8323	29.4322	111.013	9.31822	3.73468	8	8	t-test	E
YNL081C	SWS2	0.0020893	0.130189	-50.7813	14.1285	89.7759	9.31613	13.4766	8	8	t-test	E
YMR166C	YMR166C	0.176877	0.631161	-50.6507	53.7051	144.333	21.6492	38.8983	8	8	t-test	E
YNL299W	TRF5	0.00207537	0.130189	-50.5778	21.2027	99.2786	10.8224	3.03225	8	8	t-test	E
YPL079W	RPL21B	0.00502618	0.194436	-50.3118	16.6314	92.5883	12.4544	10.4157	8	8	t-test	E
YLR085C	ARP6	0.0152726	0.339795	-50.0537	24.6255	103.288	15.7241	3.69922	8	8	t-test	E
YPL138C	SPP1	0.0220081	0.39707	-49.6937	23.5131	101.251	16.9644	2.91173	8	8	t-test	E
YJL169W	YJL169W	0.0186742	0.36783	-49.3995	34.2156	115.647	16.2361	4.5282	8	8	t-test	E
YGL124C	MON1	0.214392	0.66278	-49.2742	25.2484	103.071	13.3417	47.5891	8	8	t-test	E
YDR025W	RPS11A	0.0263965	0.408127	-49.2613	33.8758	114.986	17.5726	2.26962	8	8	t-test	E
YDR375C	BCS1	0.010498	0.287125	-49.1679	37.6894	120.131	14.2784	4.38712	8	8	t-test	E
YEL063C	CAN1	0.0346328	0.450279	-48.6123	0	67.235	0	25.7059	8	8	t-test	E
YDR310C	SUM1	0.0418746	0.470626	-48.555	19.1219	93.6031	19.1219	10.2172	8	8	t-test	E
YFR040W	SAP155	0.0202292	0.379319	-48.5407	28.0626	105.949	14.5427	15.5669	8	8	t-test	E
YGL063W	PUS2	0.00360933	0.170313	-48.365	48.1595	133.502	11.3899	2.80268	8	8	t-test	E
YPL139C	UME1	0.0211983	0.387664	-48.335	42.7331	125.955	16.3552	4.41499	8	8	t-test	E
YNL266W	YNL266W	0.0606977	0.509693	-48.3301	14.6541	87.1125	14.6541	25.5603	8	8	t-test	E
YNL056W	OCA2	0.00178884	0.130189	-48.048	22.8779	98.0966	9.5815	10.8717	8	8	t-test	E
YDR024W	FYV1	0.0424552	0.470626	-47.8199	39.1993	120.355	19.201	6.31479	8	8	t-test	E
YMR273C	ZDS1	0.0197075	0.376106	-47.5439	52.8076	138.795	15.8192	3.7536	8	8	t-test	E
YMR271C	URA10	0.0441042	0.471645	-47.5137	50.635	135.748	19.3709	3.13148	8	8	t-test	E
YBR078W	ECM33	0.00773607	0.242472	-47.0926	2.35507	68.3904	2.35507	17.7525	8	8	t-test	E
YMR272C	SCS7	0.0148879	0.332961	-46.8745	37.8608	117.196	14.6512	5.58236	8	8	t-test	E
YNL069C	RPL16B	0.0229218	0.402071	-46.7561	37.3206	116.285	16.117	2.88472	8	8	t-test	E
YOR008C	SLG1	0.000986298	0.0920688	-46.19	28.3755	103.131	9.06126	5.49165	8	8	t-test	E
YGR282C	BGL2	0.102886	0.567101	-46.1508	22.9692	95.5989	19.4692	24.7305	8	8	t-test	E
YBR095C	RXT2	0.00291398	0.15302	-45.6345	24.4318	96.9078	11.7947	9.97247	16	16	t-test	E
YDL190C	UFD2	0.013413	0.324019	-45.0079	41.055	119.032	13.7581	4.27975	8	8	t-test	E
YEL062W	NPR2	0.0611385	0.509765	-44.7405	19.6131	89.0065	16.5344	19.9467	8	8	t-test	E
YOR069W	VPS5	0.0134372	0.324019	-44.5324	18.7905	87.5811	12.5459	12.6989	8	8	t-test	E
YDR076W	RAD55	0.0229407	0.402071	-44.5159	26.9384	98.8275	15.3431	4.22929	8	8	t-test	E
YMR080C	NAM7	0.0931416	0.55859	-44.3556	49.3317	129.578	22.7908	2.97965	8	8	t-test	E
YJL082W	IML2	0.0133186	0.324019	-43.6099	42.5942	119.228	13.3121	4.29767	8	8	t-test	E
YHR031C	RRM3	0.0522394	0.494089	-43.5653	39.455	114.824	18.5336	5.83647	8	8	t-test	E
YJR109C	CPA2	0.000268993	0.033746	-43.5166	0	60.1873	0	12.7277	16	16	t-test	E
YPL080C	YPL080C	0.0268032	0.410865	-43.298	34.7193	107.905	15.5026	2.66113	8	8	t-test	E
YBR194W	AIM4	0.00174237	0.130189	-43.0449	7.03188	69.2606	4.71988	12.6985	8	8	t-test	E
YBR036C	CSG2	0.0466612	0.480488	-43.0104	5.91197	67.6639	5.91197	24.271	8	8	t-test	E
YDR163W	CWC15	0.0334461	0.450279	-42.8884	46.9388	124.239	16.107	6.90395	8	8	t-test	E
YDR120C	TRM1	0.0554482	0.498252	-42.8488	17.7234	83.7766	17.7234	12.4057	8	8	t-test	E
YNL307C	MCK1	0.00132468	0.114395	-42.7378	28.7534	98.8785	8.70844	4.53245	8	8	t-test	E
YBR034C	HMT1	0.0607706	0.509693	-42.4368	51.6654	130.151	18.9068	5.10066	8	8	t-test	E
YDR389W	SAC7	0.0561349	0.50009	-42.216	44.8861	120.47	18.3399	5.65791	8	8	t-test	E
YNL274C	GOR1	0.0462568	0.479775	-42.2105	54.209	133.357	17.4238	3.54404	8	8	t-test	E
YPR057W	BRR1	6.48638e-05	0.0121098	-42.0306	25.415	93.2832	5.82496	3.97293	8	8	t-test	E
YLR361C	DCR2	0.0817572	0.538793	-41.981	51.7682	129.663	20.5614	4.77741	8	8	t-test	E
YNL003C	PET8	0.00393111	0.177686	-41.8645	26.2561	94.2167	10.1358	4.36914	8	8	t-test	E
YNL077W	APJ1	0.194382	0.649554	-41.7474	64.6959	147.22	9.97661	38.697	8	8	t-test	E
YOR220W	RCN2	0.0225103	0.401076	-41.6858	50.8802	128.027	14.2979	4.47788	8	8	t-test	E
YHL033C	RPL8A	0.0574426	0.502956	-41.5199	37.586	109.41	18.2249	4.08186	8	8	t-test	E
YDR004W	RAD57	0.0295718	0.42327	-41.4975	29.4715	98.1562	15.2023	4.4379	8	8	t-test	E
YNL255C	GIS2	0.0726541	0.519216	-41.4603	41.1676	114.281	17.263	16.9506	8	8	t-test	E
YIL040W	APQ12	0.0392459	0.464247	-41.2545	7.37024	67.2523	4.84367	22.3339	8	8	t-test	E
YEL061C	CIN8	0.0935527	0.558771	-40.8469	19.161	82.9962	19.161	15.8677	8	8	t-test	E
YAL056W	GPB2	0.174308	0.631095	-40.7205	52.2287	128.557	26.7732	5.39735	8	8	t-test	E
YMR312W	ELP6	0.00839467	0.248598	-40.5266	9.92057	69.7728	9.92057	12.012	8	8	t-test	E
YDR034C	LYS14	1.44011e-11	1.23676e-08	-40.5241	1.60124	58.2629	1.17177	6.58604	56	56	t-test	E
YDR392W	SPT3	0.0368178	0.450279	-40.5223	17.7849	80.644	14.7555	12.0409	8	8	t-test	E
YGL167C	PMR1	0.00159669	0.126966	-40.4696	0	55.973	0	11.2342	8	8	t-test	E
YNL254C	RTC4	0.0730874	0.52046	-40.2961	59.71	138.317	19.0747	3.30609	8	8	t-test	E
YNL273W	TOF1	0.0515574	0.493847	-40.25	24.5516	89.6261	12.4468	19.6379	8	8	t-test	E
YIL020C	HIS6	0.018401	0.367615	-40.1691	0	55.5573	0	18.1738	8	8	t-test	E
YPL090C	RPS6A	0.0535375	0.494839	-40.0869	39.6843	110.33	17.2139	4.5341	8	8	t-test	E
YNL190W	YNL190W	0.0263778	0.408127	-39.9512	53.7328	129.573	14.2362	3.94178	8	8	t-test	E
YOR189W	IES4	0.0364679	0.450279	-39.9461	45.8751	118.698	15.4627	3.143	8	8	t-test	E
YMR216C	SKY1	0.0617553	0.511119	-39.9245	52.8035	128.251	17.8895	4.45326	8	8	t-test	E
YLR055C	SPT8	0.0624209	0.511119	-39.8666	36.5067	105.631	17.9398	3.98886	8	8	t-test	E
YPL087W	YDC1	0.0473567	0.484166	-39.7881	49.5465	123.557	16.4657	5.24025	8	8	t-test	E
YPL239W	YAR1	0.00199006	0.130189	-39.6099	31.8856	98.8845	8.57276	4.04734	8	8	t-test	E
YNL180C	RHO5	0.00197005	0.130189	-39.5594	36.6698	105.432	8.46334	3.08665	8	8	t-test	E
YPR023C	EAF3	0.00158355	0.126966	-39.4904	46.5162	118.955	8.07448	2.33053	8	8	t-test	E
YDR075W	PPH3	0.0330484	0.447665	-39.443	48.1117	121.096	14.6836	7.41788	8	8	t-test	E
YPL088W	YPL088W	0.267481	0.704208	-39.177	79.4185	164.028	18.3279	39.0971	8	8	t-test	E
YGL043W	DST1	0.0426336	0.470626	-39.0084	24.2999	87.5609	15.2866	9.31507	8	8	t-test	E
YGR055W	MUP1	0.0345131	0.450279	-38.9991	37.4095	105.68	14.8347	4.89932	8	8	t-test	E
YDR014W	RAD61	0.0282591	0.414145	-38.9574	50.2214	123.342	14.1058	4.4418	8	8	t-test	E
YOL095C	HMI1	0.00709992	0.23161	-38.6041	26.1191	89.5178	10.3229	2.10684	8	8	t-test	E
YLR114C	AVL9	0.0904315	0.551581	-38.5987	44.2577	114.597	19.2955	7.91326	8	8	t-test	E
YKR035C	OPI8	0.134551	0.60218	-38.5821	33.8624	100.197	22.1702	10.0192	8	8	t-test	E
YLR346C	YLR346C	0.0528674	0.494839	-38.4033	60.9573	137.424	16.45	3.81309	8	8	t-test	E
YOR027W	STI1	0.0715056	0.51616	-37.8451	46.5561	116.734	17.7886	3.13843	8	8	t-test	E
YJL192C	SOP4	0.0775717	0.530403	-37.7921	55.607	129.179	18.1285	5.44062	8	8	t-test	E
YHL029C	OCA5	0.0854152	0.541927	-37.7409	27.9148	90.8076	17.5294	13.1157	8	8	t-test	E
YKR091W	SRL3	0.0736865	0.522991	-37.4758	62.4488	138.204	17.718	4.72836	8	8	t-test	E
YOL093W	TRM10	0.0300327	0.424211	-37.2831	52.6723	124.416	13.6956	4.55715	8	8	t-test	E
YCR053W	THR4	0.039093	0.463717	-37.2396	33.1395	97.3404	14.6953	2.08616	8	8	t-test	E
YBL047C	EDE1	0.121061	0.587492	-37.2036	45.8218	114.831	21.0566	2.3629	8	8	t-test	E
YDR388W	RVS167	0.0587442	0.507489	-37.1888	14.7177	71.7913	14.7177	14.0192	8	8	t-test	E
YPL166W	ATG29	0.281533	0.71324	-36.9942	81.952	164.513	15.7612	39.55	8	8	t-test	E
YLR448W	RPL6B	0.0835871	0.541927	-36.9304	35.0039	99.4914	18.2782	2.7252	8	8	t-test	E
YNL241C	ZWF1	0.0520436	0.494089	-36.512	29.5304	91.3424	14.7828	10.6837	8	8	t-test	E
YKR104W	YKR104W	0.0236835	0.403042	-36.51	50.3244	120.099	12.6645	4.36464	8	8	t-test	E
