Library	ORF 	Plate	Row	Column	Notes
BooneSDLV2	YBR084W	1	10	4	
BooneSDLV2	YBR197C	1	10	5	
BooneSDLV2	YBR084C-A	1	10	6	
BooneSDLV2	YBR195C	1	10	7	
BooneSDLV2	YBR083W	1	10	8	
BooneSDLV2	YBR194W	1	10	9	
BooneSDLV2	YBR082C	1	10	10	
BooneSDLV2	YBR189W	1	10	11	
BooneSDLV2	YBR077C	1	10	12	
BooneSDLV2	YBR188C	1	10	13	
BooneSDLV2	YBR076W	1	10	14	
BooneSDLV2	YBR187W	1	10	15	
BooneSDLV2	YBR075W	1	10	16	
BooneSDLV2	YBR186W	1	10	17	
BooneSDLV2	YBR074W	1	10	18	
BooneSDLV2	YBR185C	1	10	19	
BooneSDLV2	YBR073W	1	10	20	
BooneSDLV2	YBR184W	1	10	21	
BooneSDLV2	YBR072W	1	10	22	
BooneSDLV2	YBR183W	1	10	23	
BooneSDLV2	YOR202W	1	10	24	
BooneSDLV2	YOR202W	1	11	1	
BooneSDLV2	YAR027W	1	11	2	
BooneSDLV2	YBL094C	1	11	3	
BooneSDLV2	YAR023C	1	11	4	
BooneSDLV2	YBL091C-A	1	11	5	
BooneSDLV2	YAR020C	1	11	6	
BooneSDLV2	YBL091C	1	11	7	
BooneSDLV2	YAR018C	1	11	8	
BooneSDLV2	YBL089W	1	11	9	
BooneSDLV2	YAR015W	1	11	10	Ade-
BooneSDLV2	YBL088C	1	11	11	
BooneSDLV2	YAR014C	1	11	12	
BooneSDLV2	YBL087C	1	11	13	
BooneSDLV2	YAR003W	1	11	14	
BooneSDLV2	YBL086C	1	11	15	
BooneSDLV2	YAR002W	1	11	16	
BooneSDLV2	YBL085W	1	11	17	
BooneSDLV2	YAR002C-A	1	11	18	
BooneSDLV2	YBL083C	1	11	19	
BooneSDLV2	YAL068C	1	11	20	
BooneSDLV2	YBL082C	1	11	21	
BooneSDLV2	YAL067C	1	11	22	
BooneSDLV2	YBL081W	1	11	23	
BooneSDLV2	YOR202W	1	11	24	
BooneSDLV2	YOR202W	1	12	1	
BooneSDLV2	YBR104W	1	12	2	
BooneSDLV2	YBR212W	1	12	3	
BooneSDLV2	YBR103W	1	12	4	
BooneSDLV2	YBR210W	1	12	5	
BooneSDLV2	YBR101C	1	12	6	
BooneSDLV2	YBR209W	1	12	7	Lys-
BooneSDLV2	YBR100W	1	12	8	
BooneSDLV2	YBR208C	1	12	9	
BooneSDLV2	YBR099C	1	12	10	
BooneSDLV2	YBR207W	1	12	11	
BooneSDLV2	YBR098W	1	12	12	
BooneSDLV2	YBR206W	1	12	13	
BooneSDLV2	YBR095C	1	12	14	
BooneSDLV2	YBR205W	1	12	15	
BooneSDLV2	YBR094W	1	12	16	
BooneSDLV2	YBR204C	1	12	17	
BooneSDLV2	YBR093C	1	12	18	
BooneSDLV2	YBR203W	1	12	19	
BooneSDLV2	YBR092C	1	12	20	
BooneSDLV2	YBR201W	1	12	21	
BooneSDLV2	YBR090C-A	1	12	22	
BooneSDLV2	YBR200W	1	12	23	
BooneSDLV2	YOR202W	1	12	24	
BooneSDLV2	YOR202W	1	13	1	
BooneSDLV2	YAR047C	1	13	2	
BooneSDLV2	YBR001C	1	13	3	
BooneSDLV2	YAR044W	1	13	4	
BooneSDLV2	YBL107C	1	13	5	
BooneSDLV2	YAR043C	1	13	6	
BooneSDLV2	YBL106C	1	13	7	
BooneSDLV2	YAR042W	1	13	8	
BooneSDLV2	YBL104C	1	13	9	
BooneSDLV2	YAR040C	1	13	10	
BooneSDLV2	YBL103C	1	13	11	
BooneSDLV2	YAR037W	1	13	12	
BooneSDLV2	YBL102W	1	13	13	
BooneSDLV2	YAR035W	1	13	14	
BooneSDLV2	YBL101C	1	13	15	
BooneSDLV2	YAR031W	1	13	16	
BooneSDLV2	YBL100C	1	13	17	
BooneSDLV2	YAR030C	1	13	18	
BooneSDLV2	YBL098W	1	13	19	
BooneSDLV2	YAR029W	1	13	20	
BooneSDLV2	YBL096C	1	13	21	
BooneSDLV2	YAR028W	1	13	22	
BooneSDLV2	YBL095W	1	13	23	
BooneSDLV2	YOR202W	1	13	24	
BooneSDLV2	YOR202W	1	14	1	
BooneSDLV2	YBR121C	1	14	2	
BooneSDLV2	YBR223C	1	14	3	
BooneSDLV2	YBR119W	1	14	4	
BooneSDLV2	YBR222C	1	14	5	
BooneSDLV2	YBR116C	1	14	6	
BooneSDLV2	YBR221C	1	14	7	
BooneSDLV2	YBR115C	1	14	8	Lys biogenesis; Lys-
BooneSDLV2	YBR220C	1	14	9	
BooneSDLV2	YBR114W	1	14	10	
BooneSDLV2	YBR219C	1	14	11	
BooneSDLV2	YBR113W	1	14	12	
